food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Haricot blanc, sec",,,,,,,,
"Lentille, sèche",,,,,,,,
"Pois cassé, sec",,,,,,52.0,,
"Pois chiche, sec",,,,,,,,
"Fève, sèche",,,,,,,,11.0
"Haricot rouge, sec",,,,,,,,
"Haricot mungo, sec",,,,,,,,
"Lentille corail, sèche",,,,,,,,
"Haricot flageolet, vert, sec",,,,,,,,
"Lentille verte, sèche",,,,,,,,
"Lentille blonde, sèche",,,,,,,,
"Abricot, dénoyauté, cru",194.0,,194.0,,,,,
"Ananas, pulpe, cru",231.0,,231.0,,,,,
"Banane, pulpe, crue",383.0,,383.0,,,,,
"Cassis, cru",,,,,,,,
"Cerise, dénoyautée, crue",235.0,,235.0,,,13.0,,
"Citron, pulpe, cru",118.0,,118.0,,,,,
"Coing, cru",,,,,,,,
"Figue, crue",293.0,,293.0,,,,,
"Fraise, crue",162.0,,162.0,,,,,
"Framboise, crue",206.0,,206.0,,,,,
"Fruit de la passion ou maracudja, pulpe et pépins, cru",425.0,101.0,425.0,101.0,,,3.0,
"Grenade, pulpe et pépins, crue",340.0,,340.0,,,,,
"Groseille, crue",289.0,,289.0,,,,,
"Groseille à maquereau, crue",,,,,,,,
"Kiwi, pulpe et graines, cru",255.0,,255.0,,,11.0,,
"Litchi, pulpe, cru",344.0,81.0,344.0,81.0,,,,
"Clémentine ou Mandarine, pulpe, crue",200.0,,200.0,,,,,87.0
"Mangue, pulpe, crue",314.0,,314.0,,,,,
"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",265.0,,265.0,,,,,
"Mirabelle, crue",325.0,,325.0,,,18.0,,
"Myrtille, crue",244.0,,244.0,,,,,
"Mûre (de ronce), crue",198.0,,198.0,,,,,
"Nectarine ou brugnon, pulpe et peau, crue",,,,,,,,
"Orange, pulpe, crue",192.0,,192.0,,,,,
"Papaye, pulpe, crue",178.0,,178.0,,,,,
"Pastèque, pulpe, crue",165.0,,165.0,,,,,91.0
"Poire, pulpe et peau, crue",,,,,,,,
"Pomme, pulpe et peau, crue",,,,,,,,
"Pomelo (dit Pamplemousse), pulpe, cru",169.0,,169.0,,,,,
"Prune Reine-Claude, crue",301.0,,301.0,,,,,
"Pêche, pulpe et peau, crue",,,,,,9.0,,
"Raisin blanc, à gros grain (type Italia ou Dattier), cru",311.0,,311.0,,,,,
"Raisin noir, cru",,,,,,,,84.0
"Rhubarbe, tige, crue",,,,,,,,92.0
"Pomme, pulpe, crue",,,,,,,,
"Carambole, pulpe, crue",,,,,,,,
"Anone ou chérimole, pulpe, crue",,,,,,,,
"Feijoa, pulpe, crue",,,,,,,,
"Figue de Barbarie, pulpe et graines, crue",,,,,,6.0,,
"Kaki, pulpe, cru",290.0,,290.0,,,,,
"Citron vert ou Lime, pulpe, cru",170.0,,170.0,,,,,
"Mûre noire (du mûrier), crue",,,,,,,,
"Ramboutan, pulpe, crue",,,,,,20.0,,78.0
"Tamarin, fruit mûr, pulpe, cru",,,,,,,,
"Goyave, pulpe, crue",,,,,,,,
"Pomme Canada, pulpe, crue",,,,,,,,
"Pomme Golden, pulpe, crue",232.0,,232.0,,,,,
"Prune, crue",,,,,,,,87.0
"Raisin Chasselas, cru",335.0,,335.0,,,,,
"Poire, pulpe, crue",,,,,,,,
"Griotte, crue",,,,,,,,
"Raisin, cru",,,,,,,,
"Canneberge ou cranberry, crue",,,,,,,,
"Pomme Granny Smith, pulpe, crue",227.0,,227.0,,,,,
"Pomme Granny Smith, pulpe et peau, crue",217.0,,217.0,,,,,
"Citron, zeste, cru",,,,,,,,
"Sureau, baie, crue",,,,,,,,
"Myrtille, surgelée, crue",,,,,,,,
"Salade de fruits, crue",,,,,,,,78.0
"Framboise, surgelée, crue",,,,,,,,
"Nectarine ou brugnon, jaune, pulpe et peau, crue",218.0,,218.0,,,,,
"Nectarine ou brugnon, blanche, pulpe et peau, crue",220.0,,220.0,,,,,
"Mûre (de ronce), surgelée, crue",,,,,,,,
"Pomelo (dit Pamplemousse) jaune, pulpe, cru",,,,,,,,
"Pomelo (dit Pamplemousse) rose, pulpe, cru",,,,,,,,
"Poire Conférence, pulpe, crue",223.0,,223.0,,,,,
"Poire Williams, pulpe, crue",228.0,,228.0,,,,,
"Pomme Chantecler, pulpe, crue",219.0,,219.0,,,,,
"Pomme Gala, pulpe, crue",230.0,,230.0,,,,,
"Pomme Pink lady, pulpe, crue",254.0,,254.0,,,,,
"Pêche blanche, pulpe et peau, crue",199.0,,199.0,,,,,
"Pêche blanche, pulpe, crue",195.0,,195.0,,,,,
"Pêche jaune, pulpe, crue",196.0,,196.0,,,,,
"Dourian, pulpe, cru",,,,,,,,65.0
"Kumquat, sans pépin, cru",,,,,,,,
"Longan, pulpe, cru",,,,,,14.0,,
"Pamplemousse chinois, pulpe, cru",,,,,,,,
"Pomme Golden, pulpe et peau, crue",242.0,,242.0,,,,,
"Raisin noir Muscat, cru",381.0,,381.0,,,20.0,,
"Melon miel ou melon honeydew, pulpe, cru",,,,,,,,
"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",,,,,,,,
Fruit cru (aliment moyen),251.0,,251.0,,,,,
Compote de pomme,432.0,102.0,432.0,102.0,,,,
"Rhubarbe, tige, cuite, sucrée",,,,,,,,
"Compote, tout type de fruits",434.0,102.0,434.0,102.0,,,,
"Compote, tout type de fruits, allégée en sucres",279.0,66.0,279.0,66.0,,,,
"Chayote ou christophine ou chouchou, crue",,,,,,,,
"Compote, tout type de fruits, allégée en sucres, rayon frais",,,,,,,,
"Compote de pomme, allégée en sucres",276.0,,276.0,,,,,
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",,,,,,,,
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",249.0,,249.0,,,,,
"Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient)",,,,,,,,
"Pomme, pulpe, rôtie/cuite au four",,,,,,21.0,,
"Pomme, pulpe, bouillie/cuite à l'eau",,,,,,,,
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)",340.0,,340.0,,,,,
"Purée de pommes, type ""compote sans sucres ajoutés""",239.0,,239.0,,,,,
"Coulis de fruits rouges (framboises, fraises, groseilles, cassis)",,,,,,,,
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)",,,,,,,,81.0
"Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)",,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",,,,,,,,
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",,,,,,,,84.0
"Abricot au sirop léger, appertisé, égoutté",,,,,,,,83.0
"Abricot au sirop léger, appertisé, non égoutté",,,,,,14.0,,
"Abricot au sirop, appertisé, égoutté",,,,,,,,81.0
"Abricot au sirop, appertisé, non égoutté",,,,,,,,
"Ananas au jus d'ananas, égoutté, appertisé",,,,,,,,
"Ananas au jus d'ananas, appertisé, non égoutté",,,,,,,,
"Ananas au sirop léger, appertisé, égoutté",,,,,,,,82.0
"Ananas au sirop léger, appertisé, non égoutté",,,,,,16.0,,
"Pêche au sirop léger, appertisée, égouttée",,,,,,,,
"Pêche au sirop léger, appertisée, non égouttée",,,,,,,,
"Poire au sirop léger, appertisée, égouttée",274.0,,274.0,,,,,
"Poire au sirop léger, appertisée, non égouttée",,,,,,,,
"Abricot, dénoyauté, sec",1010.0,239.0,1010.0,239.0,,,,
"Datte, pulpe et peau, sèche",,,,,,,,
"Figue, sèche",,,,,,,,
"Pruneau, sec",969.0,229.0,969.0,229.0,,,,
"Raisin, sec",1360.0,321.0,1360.0,321.0,3.0,,,16.0
"Mélange apéritif de fruits exotiques, sec",1640.0,389.0,1640.0,389.0,,,,
"Banane, pulpe, sèche",,,,,,,,3.0
"Pomme, sèche",,,,,,,,
"Pêche, sèche",,,,,5.0,,1.0,
"Canneberge ou cranberry, séchée, sucrée",1410.0,333.0,1410.0,333.0,,,1.0,
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)",846.0,200.0,846.0,200.0,,,,
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique",,,,,,,,
"Abricot pays, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Ananas, pulpe, cru , prélevé à la Martinique",,,,,,,0.0,
"Caïmite, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Cerise acérola, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Chadèque, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Chips d'abricot pays, pulpe, prélevé à la Martinique",,,,,,,,
"Goyave, pulpe, purée, prélevée à la Martinique",,,,,,,,
"Jus de carambole, prélevé à la Martinique, jus filtré",,,,,,,,
"Jus de carambole, prélevée à la Martinique, jus non filtré",,,,,,,,
"Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique",,,,,,,,92.0
"Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique",,,,,,,,
"Jus de corossol, prélevé à la Martinique",,,,,,,,84.0
"Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus",,,,,,,,
"Jus de grenade, prélevée à la Martinique",,,,,,,0.0,87.0
"Jus de lime, pur jus, prélevé à la Martinique",,,,,,,,
"Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique",,,,,,,,
"Jus de mandarine commune, pur jus filtré, prélevée à la Martinique",,,,,,,,90.0
"Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique",,,,,,,0.0,
"Jus de moubin, pur jus, prélevé à la Martinique",,,,,,,,
"Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique",,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique",,,,,,,,
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique",,,,,,,,
"Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,
"Mango bassignac, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Mango moussache, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Mangue julie, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Mangue verte, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Melon, pulpe, cru, prélevé à la Martinique",,,,,,,,87.0
"Orange (variété locale), pulpe, prélevée à la Martinique",,,,,,,,
"Orange amère, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Pastèque, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Pomme cajou, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Pomme cannelle,  pulpe, crue, prélevée à la Martinique",,,,,,,,
"Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Pomme liane, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",,,,,,,,
"Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique",,,,,,,,
"Jacques, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)",376.0,,376.0,,,,,
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)",304.0,,304.0,,,,,
"Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)",169.0,40.0,169.0,40.0,,,,
Farine de châtaigne,,,,,,,,
Amande (avec peau),,,,,,,,
Cacahuète ou Arachide,,,,,,,,
"Cacahuète, grillée, salée",,,,,,15.0,50.0,
Noisette,,,,,,,,
"Noix, séchée, cerneaux",,,,,,,,4.0
"Noix de coco, amande mûre, fraîche",,,,,,,,47.0
"Noix de coco, amande, sèche",,,,,,,,
Noix du Brésil,,,,,,,,
"Pistache, grillée, salée",,,,,,,,
"Sésame, graine",,,,,,,,
"Tournesol, graine",,,,,,,,
Crème de marrons,,,,,,55.0,,
"Noix de coco, amande immature, fraîche",,,,,,,,47.0
"Crème de marrons vanillée, appertisée",,,,,,,,
Mélange apéritif de graines salées et raisins secs,2330.0,560.0,2280.0,548.0,,,,
"Noix de cajou, grillée, salée",,,,,,,,
"Châtaigne, bouillie/cuite à l'eau",,,,,2.0,23.0,,
"Châtaigne, grillée",,,,,,,,
"Noix, fraîche",,,,,11.0,,,
"Châtaigne, crue",,,,,,,,51.0
Pignon de pin,,,,,,,65.0,
Noix de pécan,,,,,,,,
Noix de macadamia,,,,,,,,
"Cucurbitacées, graine",,,,,,,,
"Luzerne, graine germée",,,,,,,,
"Luzerne, graine",,,,,,,,
Noisette grillée,,,,,,,66.0,
"Lin, graine",,,,,,,,
"Sésame, graine décortiquée",,,,,,,,
"Cacahuète, grillée à sec, salée",,,,,,,,2.0
"Sésame, grillé, graine décortiquée",,,,,17.0,,48.0,5.0
"Châtaigne ou Marron, appertisé",,,,,,,,
"Amande, mondée, émondée ou blanchie",,,,,,,,
"Amande, grillée, salée",,,,,,,,
"Noix de macadamia, grillée, salée",,,,,,,,
"Pistache, grillée",,,,,,,,
"Tournesol, graine, grillé, salé",,,,,,,,
"Noix de pécan, salées",,,,,,5.0,73.0,
"Chia, graine, séchée",,,,,,,,
Mélange apéritif de graines (non salées) et fruits séchés,,,,,,,,
Mélange apéritif de graines (non salées) et raisins secs,2250.0,541.0,2210.0,532.0,,,,
"Noisette grillée, salée",,,,,,,,
"Lin, brun, graine",,,,,18.0,,,
"Cacahuète, grillée, sans sel ajouté",,,,,,,,
"Noix de cajou, grillée, non salée",2560.0,618.0,2510.0,606.0,,,,
"Noix de cajou, grillée à sec, non salée",2610.0,630.0,2560.0,617.0,,,49.0,
"Pâte d'amande, préemballée",1820.0,432.0,1800.0,428.0,,,,
Beurre de cacahuète ou Pâte d'arachide,,,,,,,,
Tahin ou Purée de sésame,,,,,,,,
"Arachide, bouillie/cuite à l'eau, salée",,,,,,,22.0,
"Soja, graine entière",1810.0,432.0,1750.0,419.0,,,,
"Blé dur précuit, grains entiers, cuit, non salé",630.0,149.0,623.0,147.0,,,,
"Nouilles asiatiques cuites, aromatisées",616.0,147.0,611.0,146.0,,,,
"Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées",690.0,165.0,686.0,164.0,,,,
"Riz complet, cuit, non salé",668.0,158.0,665.0,157.0,,,1.0,
"Riz blanc, cuit, non salé",615.0,145.0,612.0,144.0,,,,
"Riz blanc étuvé, cuit, non salé",621.0,146.0,618.0,146.0,,,,
"Riz rouge, cuit, non salé",598.0,141.0,595.0,141.0,,,,
"Riz sauvage, cuit, non salé",430.0,102.0,427.0,101.0,,,,
"Riz thaï, cuit, non salé",605.0,143.0,602.0,142.0,,,,
"Riz basmati, cuit, non salé",495.0,117.0,492.0,116.0,,,,
"Flocons d'avoine, bouillis/cuits à l'eau",318.0,,315.0,,,,,
"Orge perlée, bouilli/cuite à l'eau, non salée",503.0,119.0,500.0,118.0,,,,
"Mil, cuit, non salé",492.0,116.0,487.0,115.0,,,1.0,
"Quinoa, bouilli/cuit à l'eau, non salé",631.0,149.0,625.0,148.0,,,,
"Polenta ou semoule de maïs, cuite, non salée",328.0,,328.0,,,,,
"Graine de couscous (semoule de blé dur précuite), cuite, non salée",667.0,157.0,659.0,156.0,,31.0,1.0,
"Boulgour de blé, cuit, non salé",471.0,111.0,467.0,110.0,,,,
"Pâtes sèches standard, cuites, non salées",535.0,126.0,529.0,125.0,,25.0,,
"Pâtes fraîches, aux oeufs, cuites, non salées",712.0,168.0,702.0,166.0,,32.0,,
"Pâtes sèches, aux oeufs, cuites, non salées",566.0,134.0,559.0,132.0,,23.0,2.0,
"Pâtes sèches, sans gluten, cuites, non salées",690.0,163.0,687.0,162.0,,,,
"Pâtes sèches, au blé complet, cuites, non salées",541.0,128.0,535.0,127.0,,,,
"Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées",720.0,170.0,716.0,169.0,,,,58.0
"Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées",709.0,168.0,695.0,164.0,,,,
"Vermicelle de riz, cuite, non salée",379.0,,378.0,,,,,
"Vermicelle de soja, cuite, non salée",260.0,,259.0,,,,,
"Gnocchi à la semoule, cuit",783.0,185.0,783.0,185.0,,,,
"Gnocchi à la pomme de terre, cuit",748.0,177.0,748.0,177.0,,,,
"Gnocchi, cuit (aliment moyen)",766.0,181.0,766.0,181.0,,34.0,,
"Frik (blé dur immature concassé), cuit, non salé",321.0,76.0,318.0,,,14.0,,
"Épeautre, cru",1450.0,344.0,1430.0,340.0,,,,11.0
"Blé de Khorasan, cru",1440.0,342.0,1430.0,337.0,,,,
"Blé tendre entier ou froment, cru",,,,,,,,
"Blé germé, cru",897.0,211.0,887.0,209.0,,,,
"Blé dur entier, cru",1450.0,343.0,1440.0,340.0,,,,
"Blé dur précuit, entier, cru",1520.0,359.0,1500.0,355.0,,,,
"Riz blanc, cru",1490.0,352.0,1490.0,350.0,,78.0,,
"Riz blanc étuvé, cru",1510.0,356.0,1500.0,354.0,,,,
"Riz complet, cru",1480.0,350.0,1480.0,349.0,,,,
"Riz sauvage, cru",1460.0,344.0,1450.0,342.0,,,,
"Riz rouge, cru",1490.0,352.0,1480.0,350.0,,,3.0,
"Riz thaï ou basmati, cru",1500.0,353.0,1490.0,351.0,,,,
"Riz thaï ou basmati, cuit, non salé",,,,,,,,
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",1500.0,355.0,1500.0,353.0,,,1.0,
"Maïs entier, cru",1460.0,346.0,1460.0,346.0,,,,
"Avoine, crue",1590.0,378.0,1570.0,374.0,,,,
"Orge entière, crue",1410.0,334.0,1390.0,330.0,,,,
"Orge perlée, crue",1460.0,346.0,1450.0,343.0,,,,
"Mil entier, cru",1520.0,359.0,1500.0,356.0,11.0,,,
"Quinoa, cru",1510.0,358.0,1490.0,354.0,,,,
"Amarante, crue",1560.0,369.0,1540.0,365.0,,,,
"Sorgho entier, cru",1470.0,349.0,1470.0,349.0,,,,
"Sarrasin entier, cru",1500.0,356.0,1500.0,356.0,,,,
"Seigle entier, cru",1410.0,334.0,1400.0,331.0,,61.0,,
"Semoule de blé dur, crue",1490.0,352.0,1480.0,348.0,,,,
"Semoule de blé dur, cuite, non salée",516.0,122.0,510.0,120.0,,24.0,,
"Mélange de céréales et légumineuses, cru",1490.0,354.0,1470.0,349.0,,59.0,4.0,
"Polenta ou semoule de maïs, précuite, sèche",1480.0,350.0,1480.0,350.0,,74.0,,
"Graine de couscous (semoule de blé dur précuite), crue",1550.0,365.0,1530.0,360.0,12.0,,,
"Boulgour de blé, cru",1490.0,351.0,1470.0,348.0,,,,
"Pâtes sèches standard, crues",1420.0,336.0,1400.0,331.0,,,,
"Pâtes fraîches, aux oeufs, crues",1200.0,283.0,1180.0,279.0,,,,
"Pâtes sèches, aux oeufs, crues",1610.0,381.0,1590.0,377.0,14.0,68.0,,
"Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature",1570.0,371.0,1550.0,366.0,,71.0,3.0,
"Pâtes sèches, au blé complet, crues",1490.0,353.0,1480.0,350.0,,,,11.0
"Pâtes sèches, sans gluten, crues",1510.0,356.0,1500.0,354.0,,79.0,,
"Vermicelle de riz, sèche",1550.0,365.0,1540.0,363.0,,,1.0,
"Vermicelle de soja, sèche",1460.0,344.0,1460.0,344.0,,,,
"Gnocchi à la pomme de terre, cru",744.0,176.0,744.0,176.0,,35.0,,
"Gnocchi à la semoule, cru",846.0,200.0,846.0,200.0,,37.0,,
"Frik (blé dur immature concassé), cru",1360.0,323.0,1350.0,321.0,,,,
Pain (aliment moyen),1170.0,276.0,1150.0,273.0,,,,30.0
"Pain, baguette, courante",1220.0,287.0,1200.0,284.0,,,,
"Pain, baguette ou boule, au levain",1110.0,261.0,1090.0,258.0,,,,
"Pain, baguette, de tradition française",1180.0,279.0,1170.0,276.0,,,1.0,
"Pain, baguette ou boule, bis (à la farine T80 ou T110) ",1120.0,265.0,1110.0,262.0,,54.0,,
"Pain courant, 400g ou boule",1130.0,266.0,1110.0,263.0,,52.0,2.0,
"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)",1090.0,257.0,1080.0,254.0,,,,
"Pain, baguette ou boule, de campagne",1070.0,253.0,1060.0,250.0,,50.0,,
Pain complet ou intégral (à la farine T150),1030.0,244.0,1020.0,241.0,,,,
"Pain de mie, complet",1110.0,262.0,1090.0,259.0,,,,
"Pain de mie, au son",1170.0,278.0,1160.0,275.0,,46.0,,
"Pain de mie, multicéréale",1160.0,274.0,1140.0,271.0,,,,
Pain au son,1050.0,249.0,1040.0,246.0,,,,
"Pain de seigle, et froment",1100.0,260.0,1090.0,257.0,,,1.0,
"Pain, sans gluten",1100.0,261.0,1100.0,260.0,,,,
"Pain, baguette, sans sel",1180.0,279.0,1170.0,276.0,,,,
Pain panini,1150.0,272.0,1140.0,269.0,,,,
Pain pita,1100.0,259.0,1080.0,256.0,,53.0,,
"Pain de mie, courant",1180.0,278.0,1160.0,275.0,,,,
"Pain de mie, sans croûte, préemballé",1150.0,271.0,1130.0,268.0,,,,
"Pain de mie brioché, préemballé",1310.0,309.0,1290.0,306.0,,,,
"Pain, baguette ou boule, aux céréales et graines, artisanal",1140.0,269.0,1120.0,265.0,,,,
"Muffin anglais, complet, petit pain spécial, préemballé",917.0,217.0,896.0,212.0,,,,
"Muffin anglais, petit pain spécial, préemballé",966.0,228.0,949.0,224.0,,,,
Bagel,1150.0,272.0,1140.0,269.0,,,,
"Pain pour hamburger ou hot dog (bun), préemballé",1240.0,293.0,1220.0,290.0,,,,
Pain blanc maison (avec farine pour machine à pain),1090.0,256.0,1070.0,253.0,,,,
Pain de campagne maison (avec farine pour machine à pain),1020.0,240.0,1000.0,237.0,,,,
"Pain pour hamburger ou hot dog (bun), complet, préemballé",1200.0,285.0,1190.0,282.0,,,,
"Bretzel, pain frais",1390.0,330.0,1380.0,327.0,,,,
"Tortilla souple (à garnir), à base de maïs",1320.0,313.0,1320.0,313.0,,,,26.0
"Tortilla souple (à garnir), à base de blé",1380.0,327.0,1360.0,323.0,,,,26.0
Blini,,,,,,,,
"Pain grillé, domestique",1340.0,317.0,1330.0,313.0,,64.0,,
Biscotte classique,1730.0,409.0,1710.0,405.0,,,,
Biscotte briochée,1760.0,417.0,1740.0,413.0,,69.0,,
Biscotte sans adjonction de sel,1710.0,405.0,1690.0,401.0,,74.0,,
Biscotte multicéréale,1680.0,398.0,1660.0,393.0,,,,
Biscotte complète ou riche en fibres,1660.0,393.0,1640.0,388.0,,67.0,,
Crackers de table au froment,1900.0,450.0,1880.0,447.0,,75.0,12.0,
Galette de riz soufflé complet,1630.0,385.0,1630.0,384.0,,,3.0,
Galette multicéréales soufflée,1670.0,394.0,1660.0,392.0,,,,
Galette de maïs soufflé,,,,,,,,
"Pain grillé, tranches, au froment",1710.0,404.0,1690.0,401.0,,,,
"Pain grillé brioché, tranché, préemballé",1770.0,419.0,1750.0,415.0,,,,
Pain grillé suédois au froment,1690.0,402.0,1680.0,398.0,,,,
Pain grillé suédois aux graines de lin,1670.0,396.0,1650.0,392.0,,63.0,9.0,
"Tartine craquante, extrudée et grillée",1610.0,379.0,1590.0,375.0,,,,
Pain grillé suédois au blé complet,1680.0,398.0,1660.0,394.0,,,8.0,
Pain grillé suédois aux fruits,1690.0,401.0,1680.0,397.0,,,8.0,
"Pain grillé, tranches, multicéréale",1770.0,419.0,1750.0,415.0,,,,3.0
Croûton à tartiner,1580.0,374.0,1560.0,369.0,,70.0,,
"Croûtons nature, préemballés",2070.0,495.0,2060.0,492.0,,,,
Chapelure,1580.0,374.0,1560.0,369.0,,70.0,,
Gressin,1820.0,433.0,1800.0,429.0,,,,
"Croûton à l'ail aux fines herbes ou aux oignons, préemballé",2060.0,492.0,2060.0,492.0,,,,
"Pop-corn ou Maïs éclaté, à l'huile, salé",2030.0,485.0,2030.0,485.0,11.0,,,
"Pop-corn ou Maïs éclaté, à l'air, non salé",1750.0,417.0,1750.0,417.0,,60.0,,
"Pop-corn ou Maïs éclaté, au caramel",1770.0,418.0,1770.0,418.0,3.0,,,2.0
Chips de crevette,2130.0,508.0,2130.0,508.0,,,,
Chips de maïs ou tortilla chips,2070.0,495.0,2070.0,495.0,,,,
"Biscuit apéritif soufflé, à base de pomme de terre",2020.0,484.0,2020.0,484.0,,,,3.0
"Biscuit apéritif, mini bretzel ou sticks",1610.0,379.0,1610.0,379.0,,,,
"Biscuit apéritif soufflé, à base de pomme de terre et de soja",1720.0,409.0,1690.0,402.0,,,,
Biscuit apéritif (aliment moyen),2040.0,486.0,2040.0,486.0,,,,
"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",2050.0,489.0,2050.0,489.0,,,23.0,
"Biscuit apéritif, crackers, garni ou fourré, au fromage",2240.0,537.0,2240.0,537.0,,,,
"Biscuit apéritif, crackers, nature",2090.0,499.0,2090.0,499.0,,59.0,,
"Biscuit apéritif, crackers, nature, allégé en matière grasse",1730.0,410.0,1730.0,410.0,,,,
"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",2040.0,487.0,2040.0,487.0,,,,
"Biscuit apéritif à base de pomme de terre, type tuile salée",2180.0,521.0,2180.0,521.0,,,,
"Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif",2160.0,518.0,2160.0,518.0,,,,
Biscuit apéritif feuilleté,2130.0,509.0,2130.0,509.0,,,,
"Crêpe dentelle (pour apéritif) au fromage, préemballée",2310.0,555.0,2310.0,555.0,,,,
Fécule de pomme de terre,1480.0,348.0,1480.0,348.0,0.0,,,
Flocon d'avoine,1550.0,367.0,1530.0,364.0,,,,
Farine de blé tendre ou froment T110,1450.0,343.0,1440.0,340.0,,,,
Farine de blé tendre ou froment T150,1450.0,342.0,1430.0,339.0,,,,
Farine de blé tendre ou froment T65,1470.0,346.0,1450.0,341.0,,,1.0,
Farine de blé tendre ou froment T55 (pour pains),1480.0,350.0,1470.0,346.0,,,1.0,
Farine de blé tendre ou froment avec levure incorporée,1490.0,350.0,1470.0,346.0,,74.0,1.0,
Farine de blé tendre ou froment T45 (pour pâtisserie),1510.0,356.0,1490.0,352.0,,,,
Farine de blé tendre ou froment T80,1510.0,355.0,1490.0,352.0,,,,
Farine d'épeautre (grand épeautre),1490.0,352.0,1470.0,347.0,,64.0,3.0,
Amidon de maïs ou fécule de maïs,1540.0,362.0,1540.0,362.0,,,,
Farine de riz,1510.0,357.0,1500.0,355.0,,,,
Farine de seigle T170,1320.0,315.0,1300.0,311.0,,,,
Farine de seigle T85,1460.0,344.0,1450.0,342.0,,,,12.0
Farine de seigle T130,1450.0,344.0,1450.0,341.0,,,,
Farine de sarrasin,1470.0,348.0,1470.0,348.0,,,,
Farine de maïs,1530.0,361.0,1530.0,361.0,,,,
Farine d'orge,1430.0,339.0,1420.0,336.0,,,,
