food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Galette ou pavé au soja, fromage et légumes, préemballé",751.0,180.0,751.0,180.0,,,,
"Haché végétal à base de soja, préemballé",599.0,143.0,580.0,139.0,,,,
"Pizza au fromage ou Pizza margherita, préemballée",953.0,227.0,951.0,226.0,,,,
"Quiche lorraine, préemballée",1140.0,274.0,1140.0,274.0,,21.0,,
"Crêpe ou Galette fourrée béchamel jambon, préemballée",573.0,136.0,573.0,136.0,,,4.0,
"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",765.0,182.0,765.0,182.0,,,,
"Crêpe ou Galette fourrée béchamel champignon, préemballée",629.0,150.0,629.0,150.0,,,,66.0
"Tarte aux légumes, préemballée",902.0,216.0,902.0,216.0,5.0,,,
"Pizza jambon fromage, préemballée",917.0,218.0,917.0,218.0,,28.0,,
"Tarte au fromage, préemballée",1210.0,289.0,1210.0,289.0,,,18.0,
"Tarte à la provençale, préemballée",1000.0,241.0,1000.0,241.0,,20.0,,
"Pizza à la viande, type bolognaise, préemballée",952.0,227.0,952.0,227.0,,,,45.0
Burritos,709.0,170.0,709.0,170.0,8.0,,,
Fajitas,665.0,158.0,665.0,158.0,,16.0,,
"Pizza au chorizo ou salami, préemballée",1040.0,248.0,1040.0,248.0,,,,
"Pizza aux fruits de mer, préemballée",843.0,200.0,843.0,200.0,,,,
"Pizza au saumon, préemballée",969.0,231.0,969.0,231.0,,,,
"Pizza au chèvre et lardons, préemballée",1030.0,245.0,1030.0,245.0,,,,
"Pizza aux légumes ou Pizza 4 saisons, préemballée",900.0,214.0,900.0,214.0,,,8.0,
"Pizza champignons fromage, préemballée",915.0,217.0,915.0,217.0,,,,
"Pizza 4 fromages, préemballée",1120.0,267.0,1120.0,267.0,,,,
Pizza (aliment moyen),979.0,233.0,979.0,233.0,,,,
"Pissaladière, préemballée",1190.0,284.0,1190.0,284.0,,,,
"Tarte à l'oignon, préemballée",1170.0,280.0,1170.0,280.0,7.0,,,
