food_name_in_french,saturated_fats_in_g_for_100g,monounsaturated_fats_in_g_for_100g,polyunsaturated_fats_in_g_for_100g,butyric_acid_4_0_in_g_for_100g,caproic_acid_6_0_in_g_for_100g,caprylic_acid_8_0_in_g_for_100g,capric_acid_10_0_in_g_for_100g,lauric_acid_12_0_in_g_for_100g,myristic_acid_14_0_in_g_for_100g,palmitic_acid_16_0_in_g_for_100g,stearic_acid_18_0_in_g_for_100g,oleic_acid_18_1_n_9_in_g_for_100g,linoleic_acid_18_2_n_6_in_g_for_100g,alpha_linolenic_acid_18_3_n_3_in_g_for_100g,arachidonic_acid_20_4_n_6_in_g_for_100g,eicosapentaenoic_acid_20_5_n_3_in_g_for_100g,docosahexaenoic_acid_22_6_n_3_in_g_for_100g,cholesterol_in_mg_for_100g
"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
Pané soja et blé (ne convient pas aux véganes ou végétaliens),,,,,,,,,,,,,,,,,,
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",,,,,,,,,,,,,,,,,,
"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",,,,,,,,,,,,,,,,,,
"Raviolis au tofu, à la sauce tomate, préemballés",,,,,,,,,,,,,,,,,,
"Galette de céréales au fromage (sans soja), préemballé",,,,,,,,,,,,,,,,,,
"Galette de céréales aux légumes (sans soja), préemballé",,,,,,,,,,,,,,,,,,
"Boulette végétale au soja et/ou blé, préemballée",,,,,,,,,,,,,,,,,,
"Galette ou pavé aux lentilles, soja et légumes, préemballé",,,,,,,,,,,,,,,,,,
"Galette ou pavé au blé (seitan) et légumes, préemballé",,,1.0,,,,,,,,,,,,,,,
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
"Galette ou pavé au soja et fromage, préemballé",,,,,,,,,,,,,,,,,,
"Galette ou pavé au soja et légumes, préemballé",,,,,,,,,,,,,,,,,,
